feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45
damage_taken_per_round_ct,-0.08537493731984319,-0.06587609685584105,-0.07501859694148032,-0.04262996151849206,-0.16627593669512714,0.21911075323037285,0.03926845214409781,0.05892755843866654,-0.019010937861311798,0.1436954688966171,0.0606161686754107,-0.011130220344757358,-0.16813788947608455,0.002492242720269315,0.026954496318649934,-0.0921063561612677,-0.09616110678111742,0.0032295590399362695,0.051432021114333426,-0.05757440954824028,-0.08167201931436685,0.05321689217646189,-0.02864856354833873,0.10599420043796633,0.10767062274704114,0.04927692298031869,-0.031057652842472194,-0.10503316168792057,-0.0035264108102357715,0.019249659692701544,0.004839931048042367,-0.09366271082546708,-0.15466722011846684,0.1034198435930256,-0.05239601003379521,-0.03939427785379283,-0.09571516474120374,-0.07667505760258124,0.058587526704319715,0.07040079813896064,-0.013727796848746851,0.09458615591600802,0.09918910278196783,0.1360221986576201,0.29966523553757407
damage_taken_per_round_t,-0.050444605644238444,-0.10482824200813025,-0.052303012531859545,0.07763771876968323,0.019919465668578735,-0.06721866180931532,0.19119315448929905,0.16041749261497393,-0.16349904705645832,-0.0953002513571044,0.035740426942304906,0.021908678565826456,0.15588899278477975,-0.07213313928176165,-0.00011940641081945036,-0.12323469239194002,0.08153121293271481,-0.05475794059116243,0.0965862247779109,0.15425584144262747,-0.29129163886349446,0.017282925353947782,0.10377439795870255,-0.1476850149483043,-0.02375192195953047,-0.05367367653177178,0.006677230459499112,-0.055120613974346006,-0.047597782265328986,-0.08887908620593485,0.16074611585192009,-0.07073725557281776,-0.06836626463992271,0.1603610680301091,0.3065234213128797,-0.08407963875142514,0.32634732478083495,-0.05422114905619488,0.03794009608167882,0.005747915265655565,-0.005204638638779846,0.1784326922737761,-0.029526317998990276,0.07591817741556821,0.051938185477943086
damage_diff_per_round_ct,0.08992141648728327,0.14309689803420528,-0.01827643021472816,0.15444576783882394,0.17774665237442747,-0.05709780994263767,-0.02126296902782168,-0.010254840464305139,0.006307531201742989,0.019929536531670372,-0.0360091284025121,0.009842735641949596,0.006372155980876704,-0.052978724163479374,-0.05438400829153509,-0.011928897336418262,0.05962269850006849,-0.01111772393715265,0.029370481736168658,0.02480239974507989,0.03397425520267072,-0.00308576849078937,0.017545975112672155,-0.05464533799075477,-0.04230853778323307,0.0384118059782817,0.004315189251796969,0.011989726203233691,0.02651157445032043,-0.0203121694990094,-0.04772078753041019,0.13591932055368547,0.1306733591568711,0.053809890587028106,0.031047788292031572,0.05662726526979447,0.03184687481932899,0.024667698807036315,-0.07906997269284315,-0.04473281245480945,0.04433906934372289,0.006735858133179817,-0.17034920838784545,-0.20452881395146705,-0.13936690555539516
damage_diff_per_round_t,0.09154300456489935,0.08859572607078271,-0.12790825337246958,-0.18604172856886741,0.07420829880730817,0.03533903868046484,-0.013089940400970838,-0.06393063088710901,-0.002366785356218582,0.02646217343341011,-0.0064563693927995255,0.03191960341382022,-0.018327364485567155,0.018380061248460394,-0.03869335683046217,-0.00981710726061284,-0.008029295863717742,-0.00043018032499606007,-0.059181303954491365,-0.15482026485342695,0.09869483898685953,0.013874445939643997,-0.05196565550665644,0.07807547745467511,-0.012784545070296971,0.0027925066270572396,-0.05223521048214119,0.003561064071350307,-0.01421899961901426,-0.023562084023391758,-0.09599856658912112,0.03522301838823422,-0.03578655341374588,-0.030155262091028742,-0.12142934024648794,-0.02893606550539823,-0.15499630622147326,0.025682255819502828,0.01719189178918209,-0.023207361044315627,-0.05909801679418014,-0.1220235780352311,-0.038038586426602246,-0.03075842223183349,0.07455762146223038
util_damage_ct,0.10502962197476376,-0.06583045839878728,0.09678716477019243,0.031251209582210414,0.000634336547028757,0.11208093133949898,-0.016040772449483938,-0.13114485082153712,-0.21481489904997184,0.04398591106994328,0.06861481789948448,-0.04655433813865123,0.05435171323317112,-0.12934010149252365,0.07256866446721275,0.03672128391659542,0.05276916595206199,0.03656640459825075,0.05581421749581224,-0.023948865209567904,-0.08074695755205424,-0.019791243544697384,-0.09164865488626671,0.13451352020170987,-0.017604954718872856,-0.0971152474872302,-0.09500512627286593,-0.0345571253001731,-0.04551129368420337,0.06546066461695559,-0.1047254385619609,-0.011727233142921442,0.03232840602493178,-0.022465438588860583,0.040663184566949354,0.03443995378242502,-0.003891206989804507,0.0626936960227963,-0.026284386575589257,-0.04596077489407796,-0.08158508101581574,0.06017358493020428,0.04183567241719346,0.13857218500398605,-0.03569727845440826
util_damage_t,0.10379665560278376,-0.10616925770868804,0.041161100838430574,-0.026673583837039855,0.0037019882002168126,0.08182157455684559,-0.08779103182856111,-0.07216335736090439,0.1915598641407686,0.059445892343108195,0.018739466119443045,0.06341606751501874,0.17120790031051722,0.024647832405196524,0.030453925336439043,-0.13234207675630755,0.007343466712114263,0.0019568782518613777,0.07374030477055857,-0.008951561956357601,-0.066184440161196,-0.026470787182280048,-0.11689222442324342,-0.04659929695272316,0.026618512759598867,0.04433369174894769,-0.08452793578390949,0.06904050382115147,-0.005358198449366747,0.045683140995968596,-0.097586933901843,0.06359683405819759,-0.03209487417758207,-0.0021845270219421897,-0.24642134479068298,-0.15623267798771717,0.26875842217487067,-0.02450841232097235,-0.10170516968796989,-0.00303866352284898,0.031102065165097212,0.07197012874188159,0.06828390800624905,0.05074592963872239,-0.16108709255871728
util_damage_per_round_ct,0.045027843606998914,-0.07934208278518952,0.07583551768526624,0.008614094225899182,0.12460445337108399,0.10774000116241897,0.011974626769916369,-0.15948862112156847,-0.2797972906273125,0.09899017001338127,0.06706460595739762,-0.18619951963793172,0.036005082740391964,-0.19423362316491022,0.022007195184085906,0.10950914745168838,0.07119137343517407,0.11798267607607416,0.04701033142807974,-0.06973416202869087,-0.07291369461620756,-0.08490992381079893,0.010298469461144995,0.06331107658042535,-0.0964128882238335,-0.09359229627469401,-0.16118924076979996,0.0005726758586780643,-0.16124795908718234,0.016029819636907666,-0.17342944083615822,-0.11800246550165124,0.1848168719765022,0.03178433188634551,0.027336280451182082,0.016072033837573153,-0.03998805816427442,0.1676229775476431,-0.1431984867240055,-0.017426462600995042,-0.028763536947471784,0.08166141424024925,0.2285190226244677,0.19907645955562933,0.03838304497835757
util_damage_per_round_t,0.014298121272500904,-0.1317672797509356,0.0016163892328550716,-0.05162889487970887,0.10188560068351753,0.14293190753358234,-0.05625028950792455,-0.04157604066250319,0.27804799765158794,0.12405901764360784,0.1087874586843694,0.0466197919112625,0.26339800658175827,0.06624373219939245,0.03263471957208759,-0.2214591870272789,0.0020113335552468525,0.0536644824020458,0.09438122476645205,-0.040706617623798985,-0.013503079764184606,-0.07613358307224302,-0.07571033110389881,-0.0037329379636394655,0.004903577746583232,0.0654775504830358,-0.1164307743697717,0.034149226753106304,-0.03666832822929869,0.026295130040878655,0.028198283455446005,0.05439332778591361,-0.0999285663412692,0.04010830834346963,-0.1772543195238343,-0.10903383768974556,0.0895192108466793,-0.033853012293587,-0.10853270778789517,-0.08863071001614833,0.13915774137370016,0.04908505645259456,-0.0832939669882628,0.28769292178577505,-0.1390370785641514
adr_ct,0.06834823197659798,0.055606293259549425,-0.10762267651036626,0.19927803572837424,0.168714406777625,0.07624529534302052,-0.023725812932661936,0.05050842125265917,-0.049863845620655975,0.097607730164115,-0.020244459911582375,-0.029117844401764,-0.15621808913631322,-0.14005035207359068,-0.007353476870778447,-0.1077828610405813,-0.03811915535591032,0.009257930937367799,0.06594626851972046,0.037527972409381605,0.004880054698353092,-0.02261020431846758,-0.03483298002641686,0.019210989833619324,0.02529814547170572,0.012557631401358182,-0.05522240714651033,0.015220933283236555,0.04617054237836446,-0.07213785919469942,-0.10616598397306323,0.14167792132088153,0.09805140361303662,0.10868624761140905,0.028234063096386874,0.00879180046012129,0.06202869904990861,0.02925027521315676,-0.0024053941619542746,-0.045904481097025156,0.1241238362712859,0.00018417837063201825,-0.16663441533584106,-0.08692877094602729,0.045477383393748114
adr_t,0.0776447257250525,-0.009159835578963375,-0.18058315740891026,-0.18092188267738324,0.11103439827371456,-0.0024848305710031683,0.07067820250098314,0.0068179705128866225,-0.049329342665817934,-0.020074920577902538,-0.0013185519184646074,0.045539263532564205,0.06803984555119362,-0.017613995242093457,-0.05457983930486606,-0.0679264601589184,0.033944562920668955,-0.07013164418681214,-0.03780576997499825,-0.06208808707962152,-0.003925413143738288,0.08764861043774051,-0.01186244172295213,0.04266053258564351,-0.002539316947471393,-0.028434323100939816,-0.020172275857250357,-0.06264377524261658,0.029302521557679137,-0.16131274223269895,-0.07539860830442396,-0.004157407623234244,-0.013914076235477385,-0.016121619899475984,0.05055328362291049,-0.11119323259470071,0.04657743920726708,0.058077644049409335,-0.057010768363554225,-0.0635164867572154,-0.13076698106721027,-0.030463976683258287,-0.09001438149809914,-0.024929012510091622,0.021234606786751556
