player_name,rounds_played_CT,rounds_played_T,opening_kills_per_round_CT,opening_kills_per_round_T,opening_attempts_per_round_CT,opening_attempts_per_round_T,opening_duels_per_round_CT,opening_duels_per_round_T,opening_success_rate_CT,opening_success_rate_T,kills_per_round_CT,kills_per_round_T,deaths_per_round_CT,deaths_per_round_T,assists_per_round_CT,assists_per_round_T,flash_assists_per_round_CT,flash_assists_per_round_T,hp_damage_per_round_CT,hp_damage_per_round_T,armor_damage_per_round_CT,armor_damage_per_round_T,utility_damage_per_round_CT,utility_damage_per_round_T,headshot_rate_CT,headshot_rate_T,awp_kill_share_CT,awp_kill_share_T,rifle_kill_share_CT,rifle_kill_share_T,pistol_kill_share_CT,pistol_kill_share_T,avg_time_to_first_engagement_ticks_CT,avg_time_to_first_engagement_ticks_T,avg_survival_ticks_CT,avg_survival_ticks_T,std_survival_ticks_CT,std_survival_ticks_T,survival_rate_CT,survival_rate_T,trade_kill_rate_CT,trade_kill_rate_T,trade_kills_per_round_CT,trade_kills_per_round_T,traded_deaths_per_round_CT,traded_deaths_per_round_T,trade_attempts_per_round_CT,trade_attempts_per_round_T,trade_success_rate_CT,trade_success_rate_T,grenades_per_round_CT,grenades_per_round_T,flashbangs_per_round_CT,flashbangs_per_round_T,smokes_per_round_CT,smokes_per_round_T,fire_nades_per_round_CT,fire_nades_per_round_T,avg_distance_from_team_CT,avg_distance_from_team_T,isolation_rate_CT,isolation_rate_T,rounds_played_total,pc1,pc2,cluster
Spinx,10.0,8.777777777777779,0.13161375661375663,0.0808641975308642,0.18716931216931218,0.13024691358024693,0.18716931216931218,0.13024691358024693,0.5666666666666667,0.48888888888888893,0.9242063492063493,0.5574074074074074,0.6304232804232804,0.6617283950617284,0.33174603174603173,0.10246913580246914,0.045370370370370366,0.0,121.30502645502646,71.70185185185186,17.879497354497357,6.873456790123457,9.099074074074075,1.6111111111111112,0.546989121989122,0.608994708994709,0.0,0.0,0.8561383061383061,0.6563492063492062,0.1000345333678667,0.3066137566137566,3417.2032467532467,4760.130114638448,6229.997486772487,6804.767283950617,2266.6754907833015,2560.062367689698,0.4374338624338624,0.4185185185185185,0.24103427436760771,0.2759259259259259,0.21415343915343912,0.1388888888888889,0.07870370370370369,0.13641975308641976,2.196164021164021,2.684567901234568,0.11033513270355376,0.06084656084656084,11066.047883597883,12194.275308641976,3015.8541005291004,3333.8395061728393,3407.485714285714,3797.343209876543,1962.8867724867725,2895.274074074074,685.9776500833756,626.3472982275547,0.252219039391126,0.22338060096341358,18.77777777777778,2.5575878436258197,0.914835006322532,1
Staehr,9.9375,9.4375,0.16688884032634033,0.14289217726717726,0.3149159867909868,0.3392041985791986,0.3149159867909868,0.3392041985791986,0.5125,0.3833333333333333,0.8781577797202798,0.6901489135864136,0.7107529623154624,0.8075547716172716,0.23077408702408703,0.23181263181263181,0.005681818181818182,0.051068722943722944,117.68665743978244,98.23868666056165,19.011398844211346,11.053542291042291,9.868141754079254,7.426769758019757,0.5537450396825396,0.47370710429920954,0.0,0.0,0.8316220238095238,0.6557523616734143,0.12165178571428571,0.17281906689801427,2661.9528284215785,3225.5461512445886,6224.965835033023,5744.4156784188035,3108.555846444974,2279.1733672249156,0.37352127039627037,0.2589081057831058,0.14149305555555555,0.1759165542060279,0.13616817210567211,0.13372703685203685,0.11556186868686869,0.23358117576867576,2.431551087801088,2.8959070443445443,0.058512828157228684,0.04273490213825967,11019.799303127429,8484.86532165751,2589.11170236014,2363.3246595418473,3689.633800747863,3027.135198655511,2131.2127391705517,1939.2606159465533,541.4813551945884,491.79003546652916,0.229741556557727,0.18388910072152473,19.375,-1.1987391719490403,2.097651652123745,3
SunPayus,6.071428571428571,7.714285714285714,0.14302721088435374,0.06006493506493506,0.20986394557823132,0.1154529993815708,0.20986394557823132,0.1154529993815708,0.369047619047619,0.38095238095238093,1.2270408163265307,0.5302257266542981,0.40314625850340136,0.5576685219542362,0.3342687074829932,0.19445732838589982,0.1125,0.0873917748917749,175.2375850340136,75.95964749536178,11.137755102040817,3.507691713048856,9.426020408163266,2.5102040816326534,0.2773809523809524,0.3845804988662132,0.30892857142857144,0.22675736961451246,0.28630952380952385,0.2837585034013605,0.10654761904761904,0.2118480725623583,2395.915532879819,2644.3007086167804,5144.414795918367,5837.016311069883,1476.9336505128235,1804.4973455156064,0.48741496598639455,0.3289270253555968,0.15535714285714283,0.18633786848072562,0.23613945578231293,0.11440940012368583,0.05535714285714286,0.15692640692640691,1.4408163265306122,2.089478973407545,0.19070247543461827,0.040850295654443126,8938.938775510203,11970.659129560914,2511.015051020408,4084.3446196660484,3133.619982993197,5178.539772727273,1474.9063775510203,2357.489254792826,498.5089744475604,403.9981133536316,0.19811696108837712,0.09581366612165258,13.785714285714285,1.678918885823171,-6.6220407424974645,0
TeSeS,8.818181818181818,10.909090909090908,0.13526170798898074,0.0769185360094451,0.2115702479338843,0.17180243998425818,0.2115702479338843,0.17180243998425818,0.38636363636363635,0.3333333333333333,0.7789256198347108,0.6108028335301063,0.6451790633608815,0.7142463597009052,0.3276859504132231,0.19012199921290832,0.12272727272727274,0.06129476584022038,110.7556473829201,81.51395120031484,15.276721763085401,7.83392365210547,7.830578512396693,3.856060606060606,0.507900432900433,0.5788797061524334,0.01515151515151515,0.0,0.6630952380952381,0.7680670339761249,0.22326839826839825,0.20094123048668502,3667.0120949757315,3170.269733044733,6866.457438016529,6506.816725698544,2433.1759036177214,2164.69556984963,0.5184573002754821,0.32865013774104684,0.11785714285714287,0.2071625344352617,0.1066115702479339,0.13614718614718616,0.11735537190082646,0.13713105076741441,2.272865013774105,2.8636363636363638,0.04212487781036168,0.0433217777299325,11366.274931129477,10082.625068870524,3305.0650137741045,3343.1113144431324,4079.131404958678,3579.8640692640693,1763.7256198347109,2020.8559425423061,850.5523808309233,612.7941324379342,0.429739812866772,0.25075212009226483,19.727272727272727,1.2751223699261822,1.0787375894723432,1
Techno4K,9.4,9.4,0.14472416472416472,0.054522144522144524,0.192030562030562,0.20463813963813965,0.192030562030562,0.20463813963813965,0.6944444444444444,0.21333333333333335,0.7848549598549598,0.7450782550782551,0.6606889406889407,0.77489010989011,0.26861046361046365,0.24503274503274503,0.006666666666666667,0.011188811188811189,113.96503237503238,103.82921134421134,16.97401320901321,11.760006105006106,12.848728308728308,5.6539194139194136,0.48103785103785107,0.6324542124542124,0.0,0.021666666666666667,0.6475946275946275,0.6397252747252746,0.122002442002442,0.20985958485958486,2706.1851515151516,2832.820846560847,6173.222662522662,6287.415137640138,2203.0139166263766,2398.688261743533,0.3879137529137529,0.2962987012987013,0.11062271062271062,0.25024420024420024,0.0882970732970733,0.17843989343989347,0.12019554519554519,0.1781118881118881,2.3536091686091685,2.563816738816739,0.03828632594763693,0.0741307642177718,11041.61539109039,10763.048604728605,3153.4467275317274,3046.7682905982906,4090.271137011137,3617.539428904429,1787.4436998186998,2553.5531673881674,777.3473233091269,581.539849510683,0.3835245337928113,0.23547572915860437,18.8,1.2763479167476588,2.149794885514544,1
Twistzz,10.2,9.8,0.1393939393939394,0.06136363636363636,0.21616161616161617,0.2594949494949495,0.21616161616161617,0.2594949494949495,0.55,0.21666666666666665,0.8646464646464647,0.7118181818181818,0.5131313131313131,0.8137878787878788,0.17575757575757575,0.08358585858585858,0.0,0.02222222222222222,114.34545454545454,84.26843434343434,20.054545454545455,9.455606060606062,13.23838383838384,0.575,0.5373809523809523,0.4666666666666666,0.0,0.0,0.8428571428571429,0.8055555555555556,0.08857142857142856,0.19444444444444445,3099.795,3295.427380952381,6731.086868686869,6355.200555555556,2267.6105331115787,2549.2553631899623,0.5676767676767677,0.2447979797979798,0.11916666666666667,0.36111111111111105,0.10707070707070707,0.26217171717171717,0.07272727272727272,0.28449494949494947,2.1858585858585857,3.41989898989899,0.05152941176470589,0.07265974318513316,10689.240404040404,7914.691363636363,2693.2424242424245,2088.955454545455,3629.99595959596,3173.63595959596,2074.9393939393935,2220.1567676767677,539.1625674325485,472.8528916112743,0.22995548118456535,0.17503087743384768,20.0,-0.3385801101886555,1.6449058241848542,3
Wicadia,9.666666666666666,9.75,0.1273148148148148,0.08437049062049062,0.2318121693121693,0.20459054834054835,0.2318121693121693,0.20459054834054835,0.5319444444444444,0.3611111111111111,0.8235930735930737,0.8753156565656566,0.7220418470418469,0.8274260461760461,0.24293530543530542,0.22303391053391053,0.020833333333333332,0.0,120.26280663780665,114.85376082251082,16.769179894179896,15.311192279942281,6.1166576479076475,6.347808441558442,0.567687908496732,0.5889433551198257,0.04351851851851852,0.0,0.6974809368191721,0.675462962962963,0.20525599128540306,0.2210648148148148,2826.72601010101,4254.671726190477,6284.136694324195,6081.117243867244,2390.5714681278105,2112.7831804950733,0.3359938672438672,0.23088023088023088,0.24791666666666667,0.10405773420479303,0.12943422318422318,0.08982683982683982,0.11531986531986531,0.21672077922077923,2.276951058201058,2.807224025974026,0.05337943225874261,0.033212764247247006,10504.665013227514,11054.362373737373,2766.5000751563252,2598.712977994228,4019.552955146705,3374.097537878788,1666.5479046416547,2576.249954906205,719.4247678974797,509.1606892558928,0.327923384557482,0.15749401639027566,19.416666666666664,0.15815823834151785,2.7250258774872766,3
XANTARES,9.666666666666666,9.75,0.18178811928811925,0.12829184704184704,0.24825637325637326,0.22803932178932176,0.24825637325637326,0.22803932178932176,0.6597222222222222,0.6041666666666666,0.9589045214045214,0.6977813852813853,0.7068903318903318,0.735479797979798,0.29441738816738816,0.21261724386724387,0.010416666666666666,0.011904761904761904,128.36350108225108,95.70256132756133,18.889926046176047,10.234172077922077,10.674377705627705,7.706259018759019,0.5692880036630036,0.5748963998964,0.013541666666666667,0.0,0.7441124847374847,0.848014948014948,0.19948870573870572,0.12698505198505197,3600.509755291005,4161.781925481925,6416.780814093315,6195.34393037518,2287.3412337444624,2150.699846693288,0.3679803992303992,0.3152507215007215,0.15100351037851037,0.24595034595034596,0.13737073112073112,0.1727092352092352,0.12017496392496392,0.14650974025974026,2.30893759018759,2.8915945165945165,0.06597217032700904,0.06396668538633259,10975.614237614238,10018.905077561327,2748.588173400673,2586.7085137085137,3692.8830567580567,3111.510822510823,1999.643759018759,2405.9491792929293,563.2631370528806,507.59871739616784,0.20412288461809172,0.14296912260337732,19.416666666666664,0.5939851232845966,1.6511234075088197,3
YEKINDAR,9.583333333333334,8.833333333333334,0.08306878306878307,0.2045995670995671,0.17377946127946128,0.3713744588744589,0.17377946127946128,0.3713744588744589,0.39444444444444443,0.4816468253968254,0.5753487253487254,0.6759559884559884,0.5951599326599327,0.7414682539682539,0.3221981721981722,0.19852092352092351,0.047619047619047616,0.028409090909090908,87.0146164021164,96.2410533910534,14.476076238576239,8.195995670995671,13.153403078403079,4.566991341991342,0.44285714285714284,0.5792508417508417,0.011904761904761904,0.0,0.7636904761904763,0.6372895622895624,0.10297619047619049,0.1778198653198653,2428.7324494949494,3388.493771043771,5658.0596019721015,5888.515422077922,2019.7960381461874,2961.970931084887,0.3675084175084175,0.26332972582972586,0.21329365079365079,0.21148989898989898,0.1180916305916306,0.17748917748917747,0.13386844636844636,0.13677849927849928,1.9305615680615682,2.5103535353535356,0.0697674411645,0.07098854533839054,10339.884343434343,9148.935714285713,2541.158339345839,2380.9925505050505,3641.2051346801345,3424.785515873016,1897.941780904281,2054.4714285714285,626.7257276685168,465.141552551826,0.2813896324977652,0.14658502612303817,18.416666666666668,-0.7006616353345283,1.9798107498844368,2
ZywOo,8.842105263157896,7.684210526315789,0.17445887445887445,0.14110275689223056,0.2550808840282524,0.27807017543859647,0.2550808840282524,0.27807017543859647,0.5903508771929825,0.4903508771929824,0.9020391888812942,0.7839598997493734,0.4345750740487583,0.656265664160401,0.1966848940533151,0.20275689223057644,0.031203007518796993,0.03270676691729323,128.72186147186147,117.80626566416039,6.784825700615175,6.737218045112782,7.242743221690591,2.7611528822055136,0.24923044791465843,0.40578303275671695,0.46778484673221515,0.2051777900462111,0.15367585630743524,0.4157092176829019,0.17500240987083093,0.10937615016562384,2673.1551378446115,2570.292846042846,5751.856949191159,5385.713157894737,2174.255069364242,1742.8467743476274,0.4301093643198906,0.281453634085213,0.11269278966647389,0.21913824479613953,0.12182729551150603,0.2394736842105263,0.07581453634085213,0.14974937343358397,1.8310207336523125,2.4531328320802004,0.05797434080021888,0.08459131171312233,13016.136671223514,11124.981954887218,3837.6296536796535,3502.6363408521306,4050.2492367281843,4116.849373433584,2539.1383800410117,2539.0522556390974,551.6138545005099,407.841389312878,0.25824636911669,0.10719501038650225,16.526315789473685,2.544244187359664,-4.519957367650621,0
alex ,7.0,7.0,0.06979166666666667,0.08333333333333333,0.23645833333333333,0.2569444444444444,0.23645833333333333,0.2569444444444444,0.375,0.22916666666666666,0.815625,0.2760416666666667,0.7333333333333334,0.6631944444444444,0.071875,0.21875,0.0,0.050347222222222224,105.12395833333333,48.31423611111111,14.583333333333334,6.489583333333334,3.6729166666666666,5.074652777777778,0.3895427489177489,0.12916666666666665,0.0,0.020833333333333332,0.5395247113997114,0.525,0.32158639971139974,0.025,2467.2770833333334,3098.043777056277,5775.185416666667,4730.850694444444,1656.8760454460948,2010.7598482605079,0.2947916666666667,0.1579861111111111,0.12842712842712845,0.3458333333333333,0.090625,0.13020833333333331,0.109375,0.1857638888888889,2.8135416666666666,2.3003472222222223,0.03848580723580724,0.04550800800800801,7866.914583333333,7487.414930555556,1882.9166666666665,1792.595486111111,3046.55625,3177.4670138888887,1347.2145833333334,1372.1145833333333,478.54542792339623,308.87926011125955,0.15471751087177546,0.07959814196282738,14.0,-7.339720542542703,-3.2925494699194773,4
alex666,8.772727272727273,8.954545454545455,0.09807654466745376,0.09111570247933884,0.20394693690148236,0.2618342516069789,0.20394693690148236,0.2618342516069789,0.39924242424242423,0.3143939393939394,0.7136642398006035,0.5412649219467401,0.5909648432375705,0.8207988980716254,0.2079561852289125,0.21115702479338844,0.012878787878787878,0.025206611570247936,91.26557785648696,79.42367998163454,11.778940377804014,7.1470615243342515,6.183377607241243,3.549862258953168,0.44207497048406136,0.43754755345664437,0.0,0.01515151515151515,0.7979027285845468,0.7379476584022039,0.12861242293060474,0.14576446280991734,2793.286688311688,2542.359628755083,5479.378609143382,5503.513292011019,2046.7543649388142,2241.832848967335,0.43180506362324544,0.2183539944903581,0.11215728715728716,0.3340630329266693,0.0790600813328086,0.21067493112947658,0.09685491276400367,0.1933769513314968,2.210207595434868,2.785904499540863,0.034632172251789474,0.07768407999056431,11625.850139380822,11119.633367768594,2532.637108093926,2506.913326446281,4122.740331890332,4027.561719467401,2138.0238865932047,2396.032323232323,742.850466414072,440.11854673672207,0.4178967277323657,0.15259338816714543,17.727272727272727,-1.1151860410749128,0.668571096174004,1
